Sequence_ID,Predicted_Taxonomy,Novelty_Score,Status,Nearest_Neighbor_Taxonomy,Nearest_Neighbor_Dist
contig_101667_117_701_-,AF282915.1.1725 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Lichinomycetes;Lichinales;Lichinaceae;Thyrea;Thyrea confusa,0.1075,Known,AF503564.1.1372 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Cenococcum;fungal endophyte MUT 769,0.1061
contig_101724_38_302_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1154,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1131
contig_102210_1128_1875_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1522,POTENTIALLY NOVEL,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1503
contig_102210_46_1077_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1258,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1229
contig_102440_1_1032_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1323,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1294
contig_103246_304_1672_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1221,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1193
contig_10394_383_979_-,AF250081.1.1850 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Eudiagogus rosenschoeldi,0.1173,Known,AF503564.1.1372 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Cenococcum;fungal endophyte MUT 769,0.1158
contig_10399_69_440_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1098,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1071
contig_10405_148_658_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1296,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1276
contig_104439_155_986_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1322,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1297
contig_104860_83_478_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1227,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1201
contig_10488_34_1014_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1288,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1259
contig_105350_46_930_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1209,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.119
contig_107306_1_757_+,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.1662,POTENTIALLY NOVEL,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1633
contig_1077_191_755_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1323,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1295
contig_10802_32_2070_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1642,POTENTIALLY NOVEL,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1627
contig_108252_246_620_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1323,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1307
contig_108252_3782_4024_+,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.142,Known,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1398
contig_108252_4057_5004_+,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.1787,POTENTIALLY NOVEL,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1733
contig_108252_5020_5352_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1401,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1386
contig_10831_420_761_-,U43080.1.1807 Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Ericales;Manilkara;Manilkara zapota,0.1091,Known,AF503564.1.1372 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Cenococcum;fungal endophyte MUT 769,0.1053
contig_10834_1_571_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1344,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1324
contig_108528_57_1004_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1273,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1248
contig_108537_178_1598_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.129,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1261
contig_108601_1078_1971_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1191,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1158
contig_108712_1_3576_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1379,Known,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1361
contig_108735_149_844_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1255,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1224
contig_108855_1303_1593_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1397,Known,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1387
contig_108864_161_1148_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1353,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1325
contig_109012_45_1228_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1308,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1281
contig_109039_158_910_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1387,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1361
contig_109057_32_2002_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1282,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1264
contig_109071_255_1366_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1296,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1276
contig_109149_1_1146_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1309,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1284
contig_109151_171_962_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1342,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1335
contig_109305_46_630_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1397,Known,MH899067.1.1633 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Tumeochrysa sp. Tumeo,0.1385
contig_109329_236_1090_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1314,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1293
contig_109332_130_687_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1267,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1249
contig_109440_1998_2975_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1227,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1192
contig_109463_69_873_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1272,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1241
contig_109480_304_945_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1564,POTENTIALLY NOVEL,MH899067.1.1633 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Tumeochrysa sp. Tumeo,0.155
contig_109744_27_1088_+,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.1521,POTENTIALLY NOVEL,MH899067.1.1633 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Tumeochrysa sp. Tumeo,0.1498
contig_109788_1_1008_+,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1369,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1362
contig_109790_147_998_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1255,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1226
contig_10979_247_957_-,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.1602,POTENTIALLY NOVEL,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1565
contig_109852_1_1273_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1412,Known,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1399
contig_109874_60_1201_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1228,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1194
